wallet,total_deposit_usd,total_borrow_usd,total_repay_usd,repay_ratio,borrow_to_deposit_ratio,deposit_frequency,liquidation_count,redeem_count,unique_assets,avg_tx_interval,score
0x00133f29e7d424f4e5773532b3fc35d020e9c54e,2.4353377818598245e-12,0.0,0.0,0.0,0.0,2,0,0,1,526544.0,700
0x0014dfac19477a83d7354e6eaac28642c1959398,86721.51626282626,1.8149001627910837e-08,1.8188824774686095e-08,1.0021942334675873,2.0927910869208964e-13,10,0,11,3,74532.54285714286,900
0x001589fe1923c2118f34e4277f2ef650fcbf0161,3758.4671136086754,1419.946916528213,0.0,0.0,0.37779947877869213,19,0,9,5,395577.5862068966,800
0x00159370cbe576b765a7fb2e78582e0cb563d445,2451.0907774069797,2348.7368202867215,0.0,0.0,0.9582414661816243,10,0,2,5,99978.05555555556,650
0x0015b3f0266cd7b1f4105cf8180d37e7bd0ccead,1.414367721676618e-11,0.0,0.0,0.0,0.0,1,0,1,1,1758.0,700
0x0016469a65facda9e86fd0ae0e9661128843c224,0.020668510838366422,0.004676133673838557,0.0,0.0,0.2262443438914027,1,0,0,1,0.0,700
0x0016dcd1d3c93067dce5bb30dc33258f36d33308,0.20245672002376752,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x00183135585d70a523d61b2e43037a7138b36906,1662.2293870576693,3849.7900537521605,1709.0734256336661,0.4439393841666598,2.3160401829778237,15,0,16,6,93152.09433962264,700
0x00184e8aa1e95f491f2d9601e12b540092160ded,102.30571110800008,24.98479710580002,24.98479710580002,1.0,0.24421703182752486,1,0,1,2,24.0,900
0x0018583d7654803d2c59467e10dec5f70bbe1851,0.0002605831286238108,0.0,0.0,0.0,0.0,72,0,0,3,27009.408450704224,750
0x001875a076b3cfe1c9535d76b0345c16e3d61118,2.2596098782034474e-12,0.0,0.0,0.0,0.0,2,0,0,1,471652.0,700
0x0018d044b946ede86b43bb3b964a45772a5abeb9,28720.331146862187,1.1215514727063227e-12,1.121345368530205e-12,0.9998162329762535,3.905078485938198e-17,9,0,9,3,219264.52380952382,900
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,0.0,7.900412443596894e-11,1.5872329212505054e-10,2.009050707899335,0.0,0,0,2,3,307012.75,900
0x0019bd9f6142943f3a03a8a62d0001a95213f555,0.1266083922640406,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x001b024b98ee862aa01eea595c4c16a0213d2611,901.2925262863051,4.987405943962264e-10,0.0,0.0,5.533615112190514e-13,1,0,0,2,124.0,700
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,46.71078768415252,2.348782142990087e-10,2.352622310010467e-10,1.001634960922979,5.028350536223036e-12,10,0,9,3,64324.709677419356,900
0x001bc97d92e1a30b02d4e75be25f06063555d556,114723.42231228868,5.444583740909294e-08,5.4503631299338023e-08,1.0010614932746986,4.745834487127302e-13,12,0,14,4,18721.659090909092,1000
0x001be549fa377710b9e59d57bbdf593ce1e379ca,1.586084926828216,0.0,0.0,0.0,0.0,2,0,0,2,1786590.0,700
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,1.812428653548691,0.0,0.0,0.0,0.0,2,0,0,2,837960.0,700
0x001d2a3192a49e28cac0a7abcaa916648c62b982,1.5659901853326883,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,1.1337851305503867e-12,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
0x001f96b7e19a54ae45f451b0148336504d03fdcf,5.666408226639781e-10,0.0,0.0,0.0,0.0,1,0,0,1,0.0,700
